Brand,Processor_Brand,Processor_Full,Price,Discount,Original_price,RAM_GB,OS,Platform,Storage_GB,Storage_unit,Display_cm,Display_inch,Warranty,Availability,Processor_Gen_Num,Clean_Description
Unknown,Intel,Intel Core Ultra 9 Processor,330000,38,539999.0,32.0,Windows 11,Windows,2048.0,TB,40.64,16.0,2.0,In Stock,14.0,Intel Core Ultra 9 Processor; 32 GB DDR5 RAM; Windows 11 Home Operating System; 2 TB SSD; 40.64 cm (16 inch) Display; 2 Years Onsite Warranty With Pick Up and Drop
Msi,Intel,Intel Core i9 Processor (13th Gen),324990,20,409990.0,32.0,Windows 11,Windows,2048.0,TB,43.18,17.0,2.0,In Stock,13.0,Intel Core i9 Processor (13th Gen); 32 GB DDR5 RAM; Windows 11 Operating System; 2 TB SSD; 43.18 cm (17 Inch) Display; 2 Year Onsite Warranty
Dell,Intel,Intel Core i7 Processor (12th Gen),320926,0,320926.0,16.0,Windows 11,Windows,1024.0,TB,39.62,15.6,1.0,In Stock,12.0,Intel Core i7 Processor (12th Gen); 16 GB DDR5 RAM; 64 bit Windows 11 Operating System; 1 TB SSD; 39.62 cm (15.6 Inch) Display; 1 Year Onsite Premium Support Plus (Includes ADP)
Msi,Intel,Intel Core i9 Processor (13th Gen),319990,41,548990.0,64.0,Windows 11,Windows,2048.0,TB,43.94,17.3,2.0,In Stock,13.0,Intel Core i9 Processor (13th Gen); 64 GB DDR5 RAM; Windows 11 Operating System; 2 TB SSD; 43.94 cm (17.3 Inch) Display; 2 Year Onsite Warranty
Apple,Apple,Apple M4 Max Processor,319900,0,319900.0,36.0,Mac OS,Mac,1024.0,TB,35.56,14.0,1.0,In Stock,4.0,"Apple M4 Max Processor; 36 GB Unified Memory RAM; Mac OS Operating System; 1 TB SSD; 35.56 cm (14 Inch) Display; Built-in Apps: App Store, Books, Calendar, Contacts, FaceTime, Find My, Freeform, GarageBand, Home, iMovie, Keynote, Mail, Maps, Messages, Music, Notes, Numbers, Pages, Photo Booth, Photos, Podcasts, Preview, QuickTime Player, Reminders, Safari, Shortcuts, Siri, Stocks, Time Machine, TV, Voice Memos, Weather; 1 Year Limited Warranty"
Dell,Intel,Intel Core Ultra 9 Processor,316990,18,389358.0,32.0,Windows 11,Windows,1024.0,TB,45.72,18.0,1.0,In Stock,14.0,Intel Core Ultra 9 Processor; 32 GB DDR5 RAM; Windows 11 Operating System; 1 TB SSD; 45.72 cm (18 inch) Display; 1 Year Onsite Warranty
Dell,Intel,Intel Core Ultra 7 Processor,315990,18,385830.0,32.0,Windows 11,Windows,1024.0,TB,41.4,16.3,1.0,In Stock,14.0,"Intel Core Ultra 7 Processor; 32 GB LPDDR5 RAM; Windows 11 Operating System; 1 TB SSD; 41.4 cm (16.3 Inch) Touchscreen Display; My Dell (Dell Power Manager,Dell Support Assist); 1 Year Onsite Hardware Service"
Msi,Intel,Intel Core i7 Processor (12th Gen),313990,0,313990.0,32.0,Windows 11,Windows,1024.0,TB,39.62,15.6,2.0,In Stock,12.0,Intel Core i7 Processor (12th Gen); 32 GB DDR5 RAM; 64 bit Windows 11 Operating System; 1 TB SSD; 39.62 cm (15.6 Inch) Display; 2 Year On-Site Warranty
Dell,Intel,Intel Core Ultra 9 Processor,311990,17,379772.0,32.0,Windows 11,Windows,1024.0,TB,40.64,16.0,1.0,In Stock,14.0,Intel Core Ultra 9 Processor; 32 GB DDR5 RAM; Windows 11 Operating System; 1 TB SSD; 40.64 cm (16 inch) Display; 1 Year Onsite Warranty
Dell,AMD,AMD Ryzen AI 9 12 Core Processor,294990,23,387761.0,32.0,Windows 11,Windows,2048.0,TB,40.64,16.0,1.0,In Stock,9.0,AMD Ryzen AI 9 12 Core Processor; 32 GB DDR5 RAM; Windows 11 Home Operating System; 2 TB SSD; 40.64 cm (16 inch) Display; 1 YEAR INTERNATIONAL
